Team,MP,Win,Draw,Loss,GF,GA,GD,Points,Win_mean,Win_std_dev,Win_rms,Win_skewness,Win_kurtosis,Win_max_value,Win_min_value,Win_median,Win_iqr,Win_zero_crossing_rate,Win_dominant_frequency,Win_max_frequency_magnitude,Win_power_spectral_density,Win_total_power,Win_spectral_entropy,Win_centroid_frequency,Draw_mean,Draw_std_dev,Draw_rms,Draw_skewness,Draw_kurtosis,Draw_max_value,Draw_min_value,Draw_median,Draw_iqr,Draw_zero_crossing_rate,Draw_dominant_frequency,Draw_max_frequency_magnitude,Draw_power_spectral_density,Draw_total_power,Draw_spectral_entropy,Draw_centroid_frequency,Loss_mean,Loss_std_dev,Loss_rms,Loss_skewness,Loss_kurtosis,Loss_max_value,Loss_min_value,Loss_median,Loss_iqr,Loss_zero_crossing_rate,Loss_dominant_frequency,Loss_max_frequency_magnitude,Loss_power_spectral_density,Loss_total_power,Loss_spectral_entropy,Loss_centroid_frequency,GF_mean,GF_std_dev,GF_rms,GF_skewness,GF_kurtosis,GF_max_value,GF_min_value,GF_median,GF_iqr,GF_zero_crossing_rate,GF_dominant_frequency,GF_max_frequency_magnitude,GF_power_spectral_density,GF_total_power,GF_spectral_entropy,GF_centroid_frequency,GA_mean,GA_std_dev,GA_rms,GA_skewness,GA_kurtosis,GA_max_value,GA_min_value,GA_median,GA_iqr,GA_zero_crossing_rate,GA_dominant_frequency,GA_max_frequency_magnitude,GA_power_spectral_density,GA_total_power,GA_spectral_entropy,GA_centroid_frequency,GD_mean,GD_std_dev,GD_rms,GD_skewness,GD_kurtosis,GD_max_value,GD_min_value,GD_median,GD_iqr,GD_zero_crossing_rate,GD_dominant_frequency,GD_max_frequency_magnitude,GD_power_spectral_density,GD_total_power,GD_spectral_entropy,GD_centroid_frequency,Points_mean,Points_std_dev,Points_rms,Points_skewness,Points_kurtosis,Points_max_value,Points_min_value,Points_median,Points_iqr,Points_zero_crossing_rate,Points_dominant_frequency,Points_max_frequency_magnitude,Points_power_spectral_density,Points_total_power,Points_spectral_entropy,Points_centroid_frequency
Brentford FC,12,4,4,4,19,17,2,16,14.0,1.0,14.035668847618199,0.0,-2.0,15.0,13.0,14.0,1.0,0.0,0.0,28.0,394.0,394.0,0.24493002679463532,0.06666666666666667,10.5,3.5,11.067971810589327,0.0,-2.0,14.0,7.0,10.5,3.5,0.0,0.0,21.0,245.0,245.0,0.5623351446188083,0.25,13.5,4.5,14.230249470757707,0.0,-2.0,18.0,9.0,13.5,4.5,0.0,0.0,27.0,405.0,405.0,0.5623351446188083,0.25,53.0,5.0,53.23532661682466,0.0,-2.0,58.0,48.0,53.0,5.0,0.0,0.0,106.0,5668.0,5668.0,0.2936729936424028,0.08620689655172414,51.0,5.0,51.24451190127583,0.0,-2.0,56.0,46.0,51.0,5.0,0.0,0.0,102.0,5252.0,5252.0,0.30088210446530783,0.08928571428571429,2.0,10.0,10.198039027185569,0.0,-2.0,12.0,-8.0,2.0,10.0,0.5,1.0,20.0,208.0,208.0,0.45056120886630463,0.8333333333333334,52.5,6.5,52.90085065478626,0.0,-2.0,59.0,46.0,52.5,6.5,0.0,0.0,105.0,5597.0,5597.0,0.3468695531644789,0.11016949152542373
Crystal Palace FC,12,4,3,5,12,16,-4,15,11.9,1.0440306508910548,11.945710527214361,0.7275964808835893,-0.8405016412759871,14.0,11.0,11.5,1.75,0.0,0.0,119.0,1426.9999999999998,1427.0,0.8892048145273455,0.9620542786714156,9.2,2.8213471959331766,9.622889378975527,0.4638006677994246,-0.402919118204085,15.0,5.0,9.0,3.5,0.0,0.0,92.0,925.9999999999998,926.0,1.7336974981655615,2.3827002640945887,16.9,2.3,17.055790805471318,-0.37083915509163945,0.2010212942349403,21.0,12.0,17.0,2.0,0.0,0.0,169.0,2909.0000000000005,2909.0,1.17104848287079,1.3756448181250427,42.7,6.738694235532579,43.22846284567611,-0.37517143736236674,-1.1263442754388175,51.0,31.0,43.0,10.0,0.0,0.0,427.0,18686.999999999996,18687.0,1.2951459068872557,1.5631460589772466,53.2,6.161168720299745,53.555578607648336,1.027099754299852,-0.22691069630169425,66.0,46.0,51.0,5.25,0.0,0.0,532.0,28682.000000000007,28682.0,1.0955577389777738,1.2446251481227484,-10.5,7.990619500389191,13.19469590403659,0.03292819533019611,-0.5202593441338199,4.0,-25.0,-11.0,9.25,0.2,0.0,105.0,1741.0,1741.0,1.9463977528090313,3.297673483281276,44.9,2.5475478405713994,44.972213643537714,0.22064179625415267,-1.139375262641826,49.0,41.0,44.5,4.0,0.0,0.0,449.0,20224.999999999996,20225.0,0.6861497901996383,0.6804053029708972
Wolverhampton Wanderers FC,12,4,3,5,16,20,-4,15,11.75,3.418698582794336,12.237238250520416,-0.5748505152229315,-0.5446538362549687,16.0,5.0,11.5,4.5,0.0,0.0,94.0,1198.0,1198.0,1.4708689268860153,1.6821262236755354,9.25,2.331844763272204,9.539392014169456,0.6432675209026769,-0.21640903686087976,14.0,6.0,9.0,2.5,0.0,0.0,74.0,728.0,728.0,1.4218110509448498,1.571078891377606,17.0,4.031128874149275,17.471405209656147,-0.6182654462600544,-0.2799999999999998,23.0,9.0,17.5,3.25,0.0,0.0,136.0,2442.0,2442.0,1.3289994284096127,1.4653535234576072,40.125,6.808771915698161,40.69858719906626,0.17341425648142977,-1.3125472206403912,51.0,31.0,39.0,11.25,0.0,0.0,321.0,13251.0,13251.0,1.0401319347123636,1.0867091532013955,55.375,12.83488897497754,56.842985495133874,0.809940732930678,-0.22474972729259868,82.0,40.0,54.0,14.75,0.0,0.0,443.0,25849.0,25849.0,1.2920839967492168,1.431335188169167,-15.25,15.85678088389948,22.0,0.060031198826872814,-0.8388518442520012,11.0,-42.0,-18.0,21.25,0.25,0.0,122.0,3871.999999999999,3872.0,1.8806821929969526,2.8588515218405472,44.5,10.392304845413264,45.69737410398983,-0.2836634135080974,-0.6708301183127574,59.0,25.0,43.0,13.0,0.0,0.0,356.0,16706.0,16706.0,1.352972557724913,1.4773801576311258
Nottingham Forest FC,12,3,4,5,14,18,-4,13,9.0,0.0,9.0,,,9.0,9.0,9.0,0.0,0.0,0.0,9.0,81.0,81.0,0.0,0.0,11.0,0.0,11.0,,,11.0,11.0,11.0,0.0,0.0,0.0,11.0,121.0,121.0,0.0,0.0,18.0,0.0,18.0,,,18.0,18.0,18.0,0.0,0.0,0.0,18.0,324.0,324.0,0.0,0.0,38.0,0.0,38.0,,,38.0,38.0,38.0,0.0,0.0,0.0,38.0,1444.0,1444.0,0.0,0.0,68.0,0.0,68.0,,,68.0,68.0,68.0,0.0,0.0,0.0,68.0,4624.0,4624.0,0.0,0.0,-30.0,0.0,30.0,,,-30.0,-30.0,-30.0,0.0,0.0,0.0,30.0,900.0,900.0,0.0,0.0,38.0,0.0,38.0,,,38.0,38.0,38.0,0.0,0.0,0.0,38.0,1444.0,1444.0,0.0,0.0
Fulham FC,12,3,3,6,10,20,-10,12,10.6,3.1368774282716245,11.054410884348384,-0.25036548976389594,-1.0897283363077535,15.0,5.0,11.0,5.25,0.0,0.0,106.0,1222.0,1222.0,1.6604841228381955,2.278771329825421,9.9,3.3,10.435516278555651,0.02137073211453338,-0.7051279132421131,16.0,5.0,10.0,4.0,0.0,0.0,99.0,1089.0,1089.0,1.6366316077879388,2.3405546101634442,17.5,4.4777226354476225,18.063775906493085,0.5446748138964029,-0.6617993669193605,26.0,11.0,16.5,5.0,0.0,0.0,175.0,3263.0000000000005,3263.0,1.4572987291255437,1.9620070260424434,41.9,8.030566605165541,42.66263001738172,-0.10649340189825042,-0.8059492083129145,55.0,27.0,39.5,10.5,0.0,0.0,419.0,18201.000000000004,18201.0,1.4276838905650582,1.7901502097785686,56.6,15.134067529914091,58.58839475527555,0.6344827823192895,-0.49464935513005237,85.0,34.0,53.0,12.75,0.0,0.0,566.0,34326.0,34326.0,1.526299665161374,2.0610399229298157,-14.7,18.590589017026865,23.700210969525145,-0.6227731967751791,-1.0030962079728227,6.0,-47.0,-8.5,25.75,0.5,0.0,147.0,5617.0,5617.0,2.136740316955971,3.8599319039662676,41.7,9.869650449737316,42.85207112847639,-0.35781469906440105,-1.441380476231532,53.0,26.0,44.5,18.25,0.0,0.0,417.0,18363.0,18363.0,1.499242716861158,1.970390887983236
AFC Bournemouth,12,2,3,7,11,27,-16,9,11.166666666666666,1.2133516482134197,11.232393630329497,-0.32137188546485596,-0.3994304022783921,13.0,9.0,11.0,0.75,0.0,0.0,67.0,757.0,757.0,0.7803882612375399,0.5660851841671789,8.166666666666666,1.950783318453271,8.396427811873332,0.16962429408683208,-1.594224519153924,11.0,6.0,8.0,3.5,0.0,0.0,49.0,423.0,423.0,1.1065285121701083,0.9702357889647735,18.666666666666668,2.2852182001336816,18.806027402582043,0.16138254378490302,-1.4449977365323678,22.0,16.0,18.5,4.0,0.0,0.0,112.0,2122.0,2122.0,0.5996548010171293,0.47912969830380747,46.333333333333336,7.06320670013903,46.86861067566081,0.2281866917227856,-1.4211834266695105,56.0,37.0,45.0,11.25,0.0,0.0,278.0,13180.0,13180.0,0.9716351476230647,0.7593462723970987,66.83333333333333,3.2871804872193366,66.91412406958638,-0.4718284982415086,-0.7572907924214118,71.0,61.0,67.0,3.75,0.0,0.0,401.0,26865.0,26865.0,0.4424336267436131,0.27272522538875704,-20.5,7.522189397597839,21.836513763266638,-0.6167320460201984,-0.8633375339720333,-12.0,-34.0,-19.0,9.75,0.0,0.0,123.0,2861.0,2861.0,1.2715938406011662,1.2487749470888807,41.666666666666664,4.109609335312651,41.86884283091664,-0.8127079749412857,-0.6562500000000018,46.0,34.0,43.0,5.0,0.0,0.0,250.0,10518.0,10518.0,0.7208973715788753,0.5134882057788754
Luton Town FC,12,1,3,8,10,22,-12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheffield United FC,12,1,2,9,10,31,-21,5,10.5,3.5,11.067971810589327,0.0,-2.0,14.0,7.0,10.5,3.5,0.0,0.0,21.0,245.0,245.0,0.5623351446188083,0.25,7.0,5.0,8.602325267042627,0.0,-2.0,12.0,2.0,7.0,5.0,0.0,0.0,14.0,148.0,148.0,0.6791932659915256,0.4166666666666667,20.5,8.5,22.192341021172147,0.0,-2.0,29.0,12.0,20.5,8.5,0.0,0.0,41.0,985.0,985.0,0.6049071211700006,0.29310344827586204,29.5,9.5,30.99193443462347,0.0,-2.0,39.0,20.0,29.5,9.5,0.0,0.0,59.0,1921.0,1921.0,0.5551825472716454,0.24358974358974358,51.0,12.0,52.392747589718944,0.0,-2.0,63.0,39.0,51.0,12.0,0.0,0.0,102.0,5490.0,5490.0,0.48691270946460224,0.19047619047619047,-21.5,21.5,30.405591591021544,0.0,-2.0,0.0,-43.0,-21.5,21.5,0.5,0.0,43.0,1849.0,1849.0,0.6931471805599453,0.5,38.5,15.5,41.50301193889427,0.0,-2.0,54.0,23.0,38.5,15.5,0.0,0.0,77.0,3445.0,3445.0,0.5994773306263198,0.28703703703703703
Everton FC,12,4,2,6,14,17,-3,4,14.625,3.2185982973959333,14.974979131871937,-0.05377400566481197,-0.40208021948772554,21.0,8.0,15.0,4.25,0.0,0.0,234.0,3588.0,3588.0,1.8442944994572201,3.5365930200965625,10.8125,2.5054627816034305,11.098986440211556,0.09379007989050968,-0.7326897839996067,15.0,6.0,10.5,3.25,0.0,0.0,173.0,1971.0,1971.0,1.869164968757077,3.6109799281263517,12.5625,3.6223050327105253,13.074306864992883,0.5600348754844409,-0.16090128044424112,21.0,7.0,12.5,5.25,0.0,0.0,201.0,2735.0,2735.0,1.9899610337477778,3.9992288785579904,51.375,7.490619133289317,51.91820489963034,-0.5089908555969762,-0.35408720445874753,62.0,34.0,52.5,9.75,0.0,0.0,822.0,43128.0,43128.0,1.5587585323507347,2.7719824544286618,47.6875,8.67985274932703,48.47099648243267,0.2864933774306938,-0.6715546904639913,66.0,33.0,47.0,15.25,0.0,0.0,763.0,37591.0,37591.0,1.7201520205925958,3.1805945203684836,3.6875,14.498787664835982,14.960364300377181,-0.5611987923234146,-0.8720872641809736,22.0,-23.0,7.0,20.25,0.3125,1.0,95.15013102165085,3581.0,3581.0,2.702695014981136,7.475391047239687,54.6875,9.432117670491605,55.494932201057786,-0.2714159780236914,-0.58507843517636,72.0,36.0,55.0,13.0,0.0,0.0,875.0,49275.0,49275.0,1.662439581985279,3.0635007565257304
Burnley FC,12,1,1,10,9,30,-21,4,10.375,2.8256636388643286,10.752906583803284,0.3142499916614141,-1.1924203721646287,15.0,7.0,10.5,4.0,0.0,0.0,83.0,925.0,925.0,1.3155722189470307,1.5090644726309583,9.5,2.692582403567252,9.874208829065749,0.30735780112063754,-1.2960760998810938,14.0,6.0,9.0,5.0,0.0,0.0,76.0,780.0,780.0,1.3152723557075192,1.5065243662946968,18.125,3.515590277606308,18.462800437636755,-0.241924007589518,-0.6139965893162809,24.0,12.0,19.0,3.75,0.0,0.0,145.0,2727.0,2727.0,1.14010848910753,1.2047934066592514,37.5,5.408326913195984,37.887992820945264,-0.2465334205445463,-1.0707867630944554,45.0,28.0,37.5,8.5,0.0,0.0,300.0,11484.0,11484.0,1.1240889021437577,1.1022657987956708,56.875,12.035754027064527,58.134542227491565,0.7937801680374794,0.0893076591932882,82.0,39.0,54.0,6.0,0.0,0.0,455.0,27037.0,27037.0,1.1985353747487486,1.2970520017880456,-19.375,10.664631967395781,22.116170554596472,-0.27752602074744454,-0.31688465168087765,-3.0,-40.0,-20.5,9.75,0.0,0.0,155.0,3913.0,3913.0,1.7178017323357402,2.272480784581148,40.625,8.395497305103492,41.48343042709944,0.6252163806059373,-0.9585352605648176,54.0,30.0,39.5,9.0,0.0,0.0,325.0,13767.0,13767.0,1.229762984333417,1.3134836711356905
