Team,MP,Win,Draw,Loss,GF,GA,GD,Points
Manchester City FC,12,9,1,2,32,12,20,28
Liverpool FC,12,8,3,1,27,10,17,27
Arsenal FC,12,8,3,1,26,10,16,27
Tottenham Hotspur FC,12,8,2,2,24,15,9,26
Aston Villa FC,12,8,1,3,29,17,12,25
Manchester United FC,12,7,0,5,13,16,-3,21
Newcastle United FC,12,6,2,4,27,13,14,20
Brighton & Hove Albion FC,12,5,4,3,25,21,4,19
West Ham United FC,12,5,2,5,21,22,-1,17
Chelsea FC,12,4,4,4,21,16,5,16
Brentford FC,12,4,4,4,19,17,2,16
Crystal Palace FC,12,4,3,5,12,16,-4,15
Wolverhampton Wanderers FC,12,4,3,5,16,20,-4,15
Nottingham Forest FC,12,3,4,5,14,18,-4,13
Fulham FC,12,3,3,6,10,20,-10,12
AFC Bournemouth,12,2,3,7,11,27,-16,9
Luton Town FC,12,1,3,8,10,22,-12,6
Sheffield United FC,12,1,2,9,10,31,-21,5
Everton FC,12,4,2,6,14,17,-3,4
Burnley FC,12,1,1,10,9,30,-21,4
